You entered a buffer length of 200
Format: 
time, gx, agx, xmin, xmax, gy, agy, ymin, ymax, gz, agz, zmin, zmax
3196,   +1.995, +0.028, -1.984, +2.774,   +3.534, +0.601, -1.940, +4.000,   -4.000, -0.315, -4.000, +4.000
3211,   +1.441, +0.040, -1.984, +2.774,   +2.601, +0.615, -1.940, +4.000,   -4.000, -0.332, -4.000, +4.000
3227,   +0.961, +0.050, -1.984, +2.774,   +2.029, +0.624, -1.940, +4.000,   -3.214, -0.349, -4.000, +4.000
3243,   +0.906, +0.056, -1.984, +2.774,   +1.352, +0.631, -1.940, +4.000,   -2.856, -0.363, -4.000, +4.000
3259,   +0.754, +0.063, -1.984, +2.774,   +0.004, +0.634, -1.940, +4.000,   -1.377, -0.374, -4.000, +4.000
3275,   -1.007, +0.069, -1.984, +2.774,   -0.442, +0.631, -1.940, +4.000,   +2.518, -0.378, -4.000, +4.000
3291,   -1.341, +0.066, -1.984, +2.774,   -0.259, +0.625, -1.940, +4.000,   +3.026, -0.363, -4.000, +4.000
3306,   -1.068, +0.061, -1.984, +2.774,   -0.465, +0.620, -1.940, +4.000,   +2.436, -0.345, -4.000, +4.000
3325,   -0.692, +0.058, -1.984, +2.774,   -0.558, +0.615, -1.940, +4.000,   +2.188, -0.330, -4.000, +4.000
3338,   +0.217, +0.056, -1.984, +2.774,   -0.212, +0.608, -1.940, +4.000,   +1.333, -0.316, -4.000, +4.000
3354,   +1.308, +0.059, -1.984, +2.774,   +0.842, +0.603, -1.940, +4.000,   -0.122, -0.307, -4.000, +4.000
3370,   +1.626, +0.068, -1.984, +2.774,   +2.170, +0.604, -1.940, +4.000,   -2.530, -0.305, -4.000, +4.000
3387,   +1.827, +0.078, -1.984, +2.774,   +3.460, +0.611, -1.940, +4.000,   -3.997, -0.314, -4.000, +4.000
3402,   +1.577, +0.089, -1.984, +2.774,   +3.419, +0.624, -1.940, +4.000,   -4.000, -0.332, -4.000, +4.000
3418,   +1.295, +0.099, -1.984, +2.774,   +2.838, +0.637, -1.940, +4.000,   -4.000, -0.349, -4.000, +4.000
3434,   +0.603, +0.107, -1.984, +2.774,   +1.738, +0.648, -1.940, +4.000,   -2.775, -0.366, -4.000, +4.000
3450,   +0.451, +0.112, -1.984, +2.774,   +1.120, +0.653, -1.940, +4.000,   -2.524, -0.377, -4.000, +4.000
3465,   +0.411, +0.116, -1.984, +2.774,   +0.201, +0.655, -1.940, +4.000,   -2.428, -0.387, -4.000, +4.000
3481,   +0.415, +0.121, -1.984, +2.774,   -0.270, +0.652, -1.940, +4.000,   -2.127, -0.396, -4.000, +4.000
3497,   +0.413, +0.125, -1.984, +2.774,   -0.437, +0.647, -1.940, +4.000,   -1.815, -0.404, -4.000, +4.000
