You entered a buffer length of 200
Format: 
time, gx, agx, xmin, xmax, gy, agy, ymin, ymax, gz, agz, zmin, zmax
3189,   +0.009, +0.009, +0.003, +0.014,   +0.975, +0.970, +0.961, +0.978,   +0.180, +0.182, +0.176, +0.187
3204,   +0.009, +0.009, +0.003, +0.014,   +0.974, +0.970, +0.961, +0.978,   +0.183, +0.182, +0.176, +0.187
3220,   +0.010, +0.009, +0.003, +0.014,   +0.966, +0.970, +0.961, +0.978,   +0.183, +0.182, +0.176, +0.187
3235,   +0.008, +0.009, +0.003, +0.014,   +0.969, +0.970, +0.961, +0.978,   +0.184, +0.182, +0.176, +0.187
3251,   +0.013, +0.009, +0.003, +0.014,   +0.970, +0.970, +0.961, +0.978,   +0.184, +0.182, +0.176, +0.187
3267,   +0.010, +0.009, +0.003, +0.014,   +0.971, +0.970, +0.961, +0.977,   +0.183, +0.182, +0.176, +0.187
3283,   +0.009, +0.009, +0.003, +0.014,   +0.972, +0.970, +0.961, +0.977,   +0.185, +0.182, +0.176, +0.187
3299,   +0.012, +0.009, +0.003, +0.014,   +0.968, +0.970, +0.962, +0.977,   +0.187, +0.182, +0.176, +0.187
3315,   +0.009, +0.009, +0.003, +0.014,   +0.975, +0.970, +0.962, +0.977,   +0.183, +0.182, +0.176, +0.187
3330,   +0.013, +0.009, +0.003, +0.014,   +0.964, +0.970, +0.962, +0.977,   +0.183, +0.182, +0.176, +0.187
3346,   +0.010, +0.009, +0.003, +0.014,   +0.975, +0.970, +0.962, +0.977,   +0.183, +0.182, +0.176, +0.187
3362,   +0.009, +0.009, +0.003, +0.014,   +0.971, +0.970, +0.962, +0.977,   +0.183, +0.182, +0.176, +0.187
3378,   +0.011, +0.009, +0.003, +0.014,   +0.972, +0.970, +0.962, +0.977,   +0.184, +0.182, +0.176, +0.187
3394,   +0.011, +0.009, +0.003, +0.014,   +0.969, +0.970, +0.962, +0.977,   +0.184, +0.182, +0.176, +0.187
3410,   +0.007, +0.009, +0.003, +0.014,   +0.968, +0.970, +0.962, +0.977,   +0.184, +0.182, +0.176, +0.187
3425,   +0.006, +0.009, +0.003, +0.014,   +0.971, +0.970, +0.962, +0.977,   +0.185, +0.182, +0.176, +0.187
3441,   +0.008, +0.009, +0.003, +0.014,   +0.974, +0.970, +0.962, +0.977,   +0.183, +0.182, +0.176, +0.187
3457,   +0.008, +0.009, +0.003, +0.014,   +0.969, +0.970, +0.962, +0.977,   +0.182, +0.182, +0.176, +0.187
3473,   +0.007, +0.009, +0.003, +0.014,   +0.969, +0.970, +0.962, +0.977,   +0.180, +0.182, +0.176, +0.187
3489,   +0.011, +0.009, +0.003, +0.014,   +0.969, +0.970, +0.962, +0.977,   +0.183, +0.182, +0.176, +0.187
3504,   +0.013, +0.009, +0.003, +0.014,   +0.971, +0.970, +0.962, +0.977,   +0.185, +0.182, +0.176, +0.187
3520,   +0.010, +0.009, +0.003, +0.014,   +0.970, +0.970, +0.964, +0.977,   +0.183, +0.182, +0.176, +0.187
3537,   +0.011, +0.009, +0.003, +0.014,   +0.968, +0.970, +0.964, +0.977,   +0.180, +0.182, +0.176, +0.187
3552,   +0.010, +0.009, +0.003, +0.014,   +0.972, +0.970, +0.964, +0.977,   +0.184, +0.182, +0.176, +0.187
3568,   +0.009, +0.009, +0.003, +0.014,   +0.968, +0.970, +0.964, +0.977,   +0.183, +0.182, +0.176, +0.187
3585,   +0.009, +0.009, +0.003, +0.014,   +0.967, +0.970, +0.964, +0.977,   +0.182, +0.182, +0.176, +0.187
3600,   +0.012, +0.009, +0.003, +0.014,   +0.971, +0.970, +0.964, +0.977,   +0.182, +0.182, +0.176, +0.187
3616,   +0.013, +0.009, +0.003, +0.014,   +0.973, +0.970, +0.964, +0.977,   +0.185, +0.182, +0.176, +0.187
3631,   +0.009, +0.009, +0.003, +0.014,   +0.968, +0.970, +0.964, +0.977,   +0.181, +0.182, +0.176, +0.187
