You entered a buffer length of 100
Format: 
time, gx, agx, xmin, xmax, gy, agy, ymin, ymax, gz, agz, zmin, zmax
1598,   -0.228, -0.041, -0.238, +0.318,   +1.106, +0.999, +0.761, +1.992,   +0.042, -0.000, -0.223, +0.113
1613,   -0.249, -0.042, -0.238, +0.318,   +1.041, +1.000, +0.761, +1.992,   -0.005, +0.000, -0.223, +0.113
1628,   -0.308, -0.044, -0.249, +0.318,   +1.010, +1.001, +0.761, +1.992,   +0.017, +0.001, -0.223, +0.113
1644,   -0.334, -0.046, -0.308, +0.318,   +1.068, +1.001, +0.761, +1.992,   -0.028, +0.001, -0.223, +0.113
1661,   -0.361, -0.049, -0.334, +0.318,   +1.082, +1.001, +0.761, +1.992,   -0.020, +0.001, -0.223, +0.113
1678,   -0.443, -0.052, -0.361, +0.318,   +1.093, +1.002, +0.761, +1.992,   +0.025, +0.001, -0.223, +0.113
1692,   -0.455, -0.056, -0.443, +0.318,   +1.024, +1.003, +0.761, +1.992,   +0.025, +0.002, -0.223, +0.113
1708,   -0.413, -0.060, -0.455, +0.318,   +1.012, +1.004, +0.761, +1.992,   +0.046, +0.003, -0.223, +0.113
1724,   -0.436, -0.063, -0.455, +0.318,   +0.986, +1.004, +0.761, +1.992,   +0.048, +0.004, -0.223, +0.113
1740,   -0.472, -0.067, -0.455, +0.318,   +0.948, +1.004, +0.761, +1.992,   +0.026, +0.004, -0.223, +0.113
1756,   -0.475, -0.071, -0.472, +0.318,   +0.939, +1.003, +0.761, +1.992,   +0.012, +0.005, -0.223, +0.113
1772,   -0.546, -0.075, -0.475, +0.318,   +0.875, +1.003, +0.761, +1.992,   -0.005, +0.006, -0.223, +0.113
1788,   -0.588, -0.080, -0.546, +0.318,   +0.805, +1.002, +0.761, +1.992,   -0.007, +0.006, -0.223, +0.113
1804,   -0.595, -0.085, -0.588, +0.318,   +0.791, +1.000, +0.761, +1.992,   -0.017, +0.005, -0.223, +0.113
1820,   -0.662, -0.090, -0.595, +0.318,   +0.798, +0.998, +0.761, +1.992,   -0.015, +0.005, -0.223, +0.113
1836,   -0.658, -0.095, -0.662, +0.318,   +0.835, +0.996, +0.761, +1.992,   +0.050, +0.004, -0.223, +0.113
1852,   -0.583, -0.101, -0.662, +0.318,   +0.843, +0.994, +0.761, +1.992,   +0.026, +0.003, -0.223, +0.113
1868,   -0.560, -0.106, -0.662, +0.318,   +0.851, +0.992, +0.761, +1.992,   +0.028, +0.003, -0.223, +0.113
1884,   -0.645, -0.111, -0.662, +0.318,   +0.816, +0.990, +0.761, +1.992,   +0.051, +0.002, -0.223, +0.103
1899,   -0.624, -0.117, -0.662, +0.318,   +0.781, +0.988, +0.761, +1.992,   +0.043, +0.001, -0.223, +0.103
1915,   -0.600, -0.122, -0.662, +0.318,   +0.775, +0.986, +0.761, +1.992,   +0.024, +0.002, -0.223, +0.103
1931,   -0.542, -0.128, -0.662, +0.318,   +0.768, +0.983, +0.761, +1.992,   +0.012, +0.002, -0.223, +0.103
1947,   -0.548, -0.132, -0.662, +0.318,   +0.768, +0.981, +0.761, +1.992,   -0.010, +0.003, -0.223, +0.103
1962,   -0.597, -0.136, -0.662, +0.318,   +0.783, +0.979, +0.761, +1.992,   -0.023, +0.003, -0.223, +0.103
1979,   -0.587, -0.141, -0.662, +0.318,   +0.735, +0.977, +0.761, +1.992,   -0.003, +0.003, -0.223, +0.103
